,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,1,USA,5591061,25007.0,1734350,308.0,2932848.0,10124.0,2484778,17222.0,16879.0,524.0
1,2,Brazil,3343925,3728.0,1080540,175.0,2432456.0,0.0,803415,8318.0,15717.0,508.0
2,3,India,2701604,54288.0,519250,880.0,1976248.0,58172.0,673431,8944.0,1955.0,38.0
3,4,Russia,927745,4892.0,157400,55.0,736101.0,3133.0,175904,2300.0,6357.0,108.0
4,5,South Africa,587345,0.0,118390,0.0,472377.0,0.0,103129,539.0,9888.0,199.0
5,6,Peru,535946,0.0,262810,0.0,365367.0,0.0,144298,1533.0,16227.0,796.0
6,7,Mexico,522162,4448.0,567570,214.0,355101.0,3729.0,110304,3489.0,4045.0,440.0
7,8,Colombia,468332,0.0,150970,0.0,287436.0,0.0,165799,1493.0,9192.0,296.0
8,9,Chile,387502,1556.0,105130,61.0,360385.0,1557.0,16604,1177.0,20249.0,549.0
9,10,Spain,358843,0.0,286170,0.0,0.0,0.0,0,617.0,7675.0,612.0
10,11,Iran,345450,2247.0,198040,165.0,299157.0,1671.0,26489,3773.0,4106.0,235.0
11,12,UK,319197,713.0,4136900,3.0,0.0,0.0,0,73.0,4699.0,609.0
12,13,Saudi Arabia,299914,1372.0,34360,28.0,268385.0,1432.0,28093,1758.0,8598.0,99.0
13,14,Argentina,294569,0.0,57500,47.0,217850.0,6148.0,70969,1708.0,6510.0,127.0
14,15,Pakistan,289215,498.0,61750,7.0,269087.0,2786.0,13953,771.0,1306.0,28.0
15,16,Bangladesh,279144,2595.0,36940,37.0,160591.0,1641.0,114859,0.0,1693.0,22.0
16,17,Italy,254235,320.0,354000,4.0,203968.0,182.0,14867,58.0,4206.0,586.0
17,18,Turkey,250542,1233.0,59960,22.0,231971.0,1002.0,12575,686.0,2967.0,71.0
18,19,Germany,226425,1428.0,92940,4.0,202900.0,0.0,14231,224.0,2701.0,111.0
19,20,France,219029,493.0,304290,19.0,83848.0,0.0,104752,367.0,3355.0,466.0
