,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
69,70,Czechia,b'20098',b'86.0',b'3990',b'2.0',b'14523.0',b'724.0',b'5176',b'26.0',b'1876.0',b'37.0'
70,71,Cameroon,b'18582',b'113.0',b'4030',b'2.0',b'16540.0',b'0.0',b'1639',b'30.0',b'698.0',b'15.0'
71,72,Ivory Coast,b'17026',b'0.0',b'1100',b'0.0',b'13947.0',b'0.0',b'2969',b'0.0',b'644.0',b'4.0'
72,73,Palestine,b'16844',b'310.0',b'1130',b'3.0',b'9906.0',b'68.0',b'6825',b'0.0',b'3293.0',b'22.0'
73,74,Bosnia and Herzegovina,b'16111',b'310.0',b'4860',b'15.0',b'9856.0',b'237.0',b'5769',b'0.0',b'4915.0',b'148.0'
74,75,Denmark,b'15740',b'123.0',b'6210',b'0.0',b'13417.0',b'77.0',b'1702',b'1.0',b'2716.0',b'107.0'
75,76,S. Korea,b'15515',b'197.0',b'3050',b'0.0',b'13917.0',b'7.0',b'1293',b'13.0',b'303.0',b'6.0'
76,77,Bulgaria,b'14365',b'0.0',b'4980',b'0.0',b'9186.0',b'0.0',b'4681',b'56.0',b'2069.0',b'72.0'
77,78,Madagascar,b'13886',b'59.0',b'1710',b'1.0',b'12603.0',b'179.0',b'1112',b'90.0',b'500.0',b'6.0'
78,79,North Macedonia,b'12840',b'101.0',b'5470',b'3.0',b'9174.0',b'0.0',b'3119',b'4.0',b'6163.0',b'263.0'
79,80,Sudan,b'12410',b'96.0',b'8030',b'5.0',b'6385.0',b'35.0',b'5222',b'0.0',b'282.0',b'18.0'
80,81,Senegal,b'12237',b'75.0',b'2560',b'3.0',b'7728.0',b'51.0',b'4253',b'55.0',b'729.0',b'15.0'
81,82,Norway,b'10035',b'30.0',b'2610',b'0.0',b'8857.0',b'0.0',b'917',b'1.0',b'1849.0',b'48.0'
82,83,Zambia,b'9839',b'496.0',b'2640',b'4.0',b'8575.0',b'163.0',b'1000',b'0.0',b'533.0',b'14.0'
83,84,Paraguay,b'9791',b'0.0',b'1380',b'0.0',b'6034.0',b'0.0',b'3619',b'46.0',b'1371.0',b'19.0'
