,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,1,USA,5588362,22308,1734090,281,2931179,8455,2483774,17222,16870.0,523.0
1,2,Brazil,3343925,3728,1080540,175,2432456,0,803415,8318,15717.0,508.0
2,3,India,2701572,54256,519230,878,1976205,58129,673444,8944,1955.0,38.0
3,4,Russia,927745,4892,157400,55,736101,3133,175904,2300,6357.0,108.0
4,5,South Africa,587345,0,118390,0,472377,0,103129,539,9888.0,199.0
5,6,Peru,535946,0,262810,0,365367,0,144298,1533,16227.0,796.0
6,7,Mexico,522162,4448,567570,214,355101,3729,110304,3489,4045.0,440.0
7,8,Colombia,468332,0,150970,0,287436,0,165799,1493,9192.0,296.0
8,9,Chile,387502,1556,105130,61,360385,1557,16604,1177,20249.0,549.0
9,10,Spain,358843,0,286170,0,0,0,0,617,7675.0,612.0
10,11,Iran,345450,2247,198040,165,299157,1671,26489,3773,4106.0,235.0
11,12,UK,319197,713,413690,3,0,0,0,73,4699.0,609.0
12,13,Saudi Arabia,299914,1372,34360,28,268385,1432,28093,1758,8598.0,99.0
13,14,Argentina,294569,0,57500,47,217850,6148,70969,1708,6510.0,127.0
14,15,Pakistan,289215,498,61750,7,269087,2786,13953,771,1306.0,28.0
15,16,Bangladesh,279144,2595,36940,37,160591,1641,114859,0,1693.0,22.0
16,17,Italy,254235,320,354000,4,203968,182,14867,58,4206.0,586.0
17,18,Turkey,250542,1233,59960,22,231971,1002,12575,686,2967.0,71.0
18,19,Germany,226351,1354,92930,3,202900,0,14158,224,2700.0,111.0
19,20,France,219029,493,304290,19,83848,0,104752,367,3355.0,466.0
20,21,Iraq,180133,3202,59540,94,128945,3571,45234,605,4466.0,148.0
21,22,Philippines,164474,3314,26810,18,112759,237,49034,461,1498.0,24.0
22,23,Indonesia,141370,1821,62070,57,94458,1355,40705,0,516.0,23.0
23,24,Canada,122186,99,90260,0,108567,83,4593,2296,3234.0,239.0
24,25,Qatar,115368,288,1930,0,112088,294,3087,69,41088.0,69.0
25,26,Kazakhstan,103033,337,12690,0,82777,1219,18987,221,5479.0,67.0
26,27,Ecuador,101751,209,608300,13,87120,98,8548,339,5756.0,344.0
27,28,Bolivia,100344,1198,40580,55,36491,853,59795,71,8582.0,347.0
28,29,Egypt,96475,0,51600,0,59743,0,31572,41,941.0,50.0
29,30,Israel,94277,1597,6920,7,70267,1757,23318,399,10250.0,75.0
30,31,Ukraine,92820,1464,20890,19,48164,342,42567,138,2124.0,48.0
31,32,Dominican Republic,86309,0,14530,0,52905,0,31951,303,7946.0,134.0
32,33,Sweden,85045,0,57870,8,0,0,0,30,8414.0,573.0
33,34,Oman,83226,140,5880,16,77812,132,4826,150,16249.0,115.0
34,35,Panama,81940,0,17670,0,55001,0,25172,159,18954.0,409.0
35,36,Belgium,78323,454,99390,4,17994,13,50390,86,6754.0,857.0
36,37,Kuwait,76827,622,5020,1,68633,498,7692,109,17957.0,117.0
37,38,Romania,71194,733,30290,38,32759,172,35406,497,3704.0,158.0
38,39,Belarus,69589,73,6130,3,67149,77,1827,0,7365.0,65.0
39,40,UAE,64541,229,3640,0,57794,100,6383,0,6516.0,37.0
40,41,Netherlands,63484,482,61720,0,0,0,0,54,3704.0,360.0
41,42,Guatemala,62944,382,23890,10,51530,838,9025,5,3505.0,133.0
42,43,Poland,57279,595,18850,8,39359,229,16035,83,1514.0,50.0
43,44,Singapore,55838,91,270,0,52350,397,3461,0,9535.0,5.0
44,45,Japan,54714,0,10880,0,40080,0,13546,232,433.0,9.0
45,46,Portugal,54234,132,17790,1,39800,103,12655,39,5321.0,175.0
46,47,Honduras,50502,523,15750,8,7339,84,41588,37,5089.0,159.0
47,48,Nigeria,49068,0,9750,0,36497,0,11596,7,237.0,5.0
48,49,Bahrain,46835,0,1730,3,43128,0,3534,39,27416.0,101.0
49,50,Morocco,43558,1069,6810,23,29941,597,12936,31,1178.0,18.0
50,51,Ghana,42653,121,2390,8,40567,205,1847,6,1369.0,8.0
51,52,Kyrgyzstan,41991,135,14960,1,34537,261,5958,24,6423.0,229.0
52,53,Armenia,41701,38,8240,6,34655,71,6222,0,14069.0,278.0
53,54,Algeria,39025,442,13790,9,27347,330,10299,40,888.0,31.0
54,55,Switzerland,38252,128,19910,0,33300,0,2961,21,4416.0,230.0
55,56,Afghanistan,37599,3,13750,0,27166,0,9058,31,963.0,35.0
56,57,Uzbekistan,35702,373,2360,4,30973,0,4493,410,1065.0,7.0
57,58,Azerbaijan,34343,124,5080,2,32042,167,1793,0,3383.0,50.0
58,59,Venezuela,33755,0,2810,0,22700,0,10774,85,1187.0,10.0
59,60,Ethiopia,31336,1460,5440,16,12524,165,18268,213,272.0,5.0
60,61,Moldova,30377,194,9080,12,21220,0,8249,362,7533.0,225.0
61,62,Kenya,30365,245,4820,8,17160,504,12723,44,563.0,9.0
62,63,Serbia,29782,100,6770,3,27208,147,1897,68,3410.0,78.0
63,64,Costa Rica,28465,0,2940,0,9062,0,19109,102,5581.0,58.0
64,65,Ireland,27313,56,17740,0,23364,0,2175,8,5524.0,359.0
65,66,Nepal,27241,581,1070,3,17495,160,9639,0,933.0,4.0
66,67,Australia,23559,271,4210,25,14539,459,8599,51,923.0,16.0
67,68,Austria,23534,164,7290,1,20765,84,2040,23,2611.0,81.0
68,69,El Salvador,23193,281,6180,6,10977,170,11598,435,3573.0,95.0
69,70,Czechia,20098,86,3990,2,14523,724,5176,26,1876.0,37.0
70,71,Cameroon,18582,113,4030,2,16540,0,1639,30,698.0,15.0
71,72,Ivory Coast,17026,0,1100,0,13947,0,2969,0,644.0,4.0
72,73,Palestine,16844,310,1130,3,9906,68,6825,0,3293.0,22.0
73,74,Bosnia and Herzegovina,16111,310,4860,15,9856,237,5769,0,4915.0,148.0
74,75,Denmark,15740,123,6210,0,13417,77,1702,1,2716.0,107.0
75,76,S. Korea,15515,197,3050,0,13917,7,1293,13,303.0,6.0
76,77,Bulgaria,14365,0,4980,0,9186,0,4681,56,2069.0,72.0
77,78,Madagascar,13886,59,1710,1,12603,179,1112,90,500.0,6.0
78,79,North Macedonia,12840,101,5470,3,9174,0,3119,4,6163.0,263.0
79,80,Sudan,12410,96,8030,5,6385,35,5222,0,282.0,18.0
80,81,Senegal,12237,75,2560,3,7728,51,4253,55,729.0,15.0
81,82,Norway,10035,30,2610,0,8857,0,917,1,1849.0,48.0
82,83,Zambia,9839,496,2640,4,8575,163,1000,0,533.0,14.0
83,84,Paraguay,9791,0,1380,0,6034,0,3619,46,1371.0,19.0
84,85,DRC,9706,30,2430,3,8705,0,758,0,108.0,3.0
85,86,Lebanon,9337,456,1050,2,2809,85,6423,66,1369.0,15.0
86,87,Malaysia,9212,12,1250,0,8876,17,211,8,284.0,4.0
87,88,French Guiana,8622,34,530,0,7985,92,584,17,28779.0,177.0
88,89,Guinea,8482,0,510,0,7364,0,1067,24,644.0,4.0
89,90,Gabon,8225,0,510,0,6277,0,1897,1,3685.0,23.0
90,91,Libya,8172,0,1530,0,933,0,7086,0,1187.0,22.0
91,92,Tajikistan,8099,34,640,0,6897,42,1138,0,847.0,7.0
92,93,Haiti,7879,0,1960,0,5235,0,2448,0,690.0,17.0
93,94,Finland,7752,21,3340,1,7050,0,368,0,1399.0,60.0
94,95,Albania,7499,119,2300,2,3816,22,3453,15,2606.0,80.0
95,96,Luxembourg,7458,0,1230,0,6500,0,835,3,11890.0,196.0
96,97,Greece,7222,147,2300,2,3804,0,3188,23,693.0,22.0
97,98,Mauritania,6701,0,1570,0,5985,0,559,3,1437.0,34.0
98,99,Croatia,6656,85,1660,0,5254,34,1236,11,1623.0,40.0
99,100,Maldives,5785,0,220,0,3349,0,2414,12,10679.0,41.0
100,101,Djibouti,5369,0,590,0,5202,0,108,0,5424.0,60.0
101,102,Zimbabwe,5308,47,1350,3,3848,1756,1325,0,356.0,9.0
102,103,Malawi,5072,0,1610,0,2626,0,2285,4,264.0,8.0
103,104,Hungary,4946,30,6080,0,3630,7,708,6,512.0,63.0
104,105,Equatorial Guinea,4821,0,830,0,2182,0,2556,0,3423.0,59.0
105,106,CAR,4652,0,610,0,1728,0,2863,2,961.0,13.0
106,107,Hong Kong,4525,44,690,0,3599,51,857,29,603.0,9.0
107,108,Namibia,4344,190,360,1,2379,9,1929,14,1706.0,14.0
108,109,Nicaragua,4115,0,1280,0,2913,0,1074,0,620.0,19.0
109,110,Montenegro,4035,0,770,0,2910,0,1048,0,6424.0,123.0
110,111,Eswatini,3839,0,700,0,2268,0,1501,11,3305.0,60.0
111,112,Congo,3831,0,760,0,1625,0,2130,0,692.0,14.0
112,113,Thailand,3378,1,580,0,3194,0,126,1,48.0,0.8
113,114,Cuba,3364,48,880,0,2692,72,584,2,297.0,8.0
114,115,Somalia,3257,1,930,0,2374,0,790,2,204.0,6.0
115,116,Cabo Verde,3179,0,350,0,2317,0,827,0,5710.0,63.0
116,117,Mayotte,3119,0,390,0,2940,0,140,1,11400.0,143.0
117,118,Suriname,3016,0,470,0,2036,0,933,11,5135.0,80.0
118,119,Mozambique,2914,59,190,0,1196,33,1699,0,93.0,0.6
119,120,Slovakia,2907,5,310,0,1969,0,907,6,532.0,6.0
120,121,Sri Lanka,2900,7,110,0,2676,6,213,1,135.0,0.5
121,122,Mali,2640,0,1250,0,1987,0,528,0,130.0,6.0
122,123,South Sudan,2490,1,470,0,1175,0,1268,0,222.0,4.0
123,124,Rwanda,2453,0,80,0,1648,0,797,0,189.0,0.6
124,125,Lithuania,2436,20,810,0,1705,1,650,6,897.0,30.0
125,126,Slovenia,2429,13,1290,0,2052,1,248,3,1168.0,62.0
126,127,Estonia,2192,2,630,0,1976,0,153,0,1652.0,47.0
127,128,Guinea-Bissau,2117,0,330,0,1015,0,1069,5,1073.0,17.0
128,129,Tunisia,2107,0,540,0,1358,0,695,9,178.0,5.0
129,130,Benin,2063,0,3900,0,1690,0,334,0,170.0,3.0
130,131,Iceland,2014,3,100,0,1888,8,116,1,5897.0,29.0
131,132,Sierra Leone,1956,0,690,0,1506,0,381,0,245.0,9.0
132,133,Angola,1906,0,880,0,628,0,1190,20,58.0,3.0
133,134,Gambia,1872,0,630,0,401,0,1408,0,772.0,26.0
134,135,Yemen,1869,0,5300,0,1013,0,326,0,62.0,18.0
135,136,Syria,1764,87,680,4,425,8,1271,0,101.0,4.0
136,137,New Zealand,1631,9,220,0,1531,0,78,5,326.0,4.0
137,138,Uganda,1560,60,150,2,1165,23,380,0,34.0,0.3
138,139,Uruguay,1440,0,380,0,1200,0,202,4,414.0,11.0
139,140,Jordan,1398,20,110,0,1241,5,146,3,137.0,1.0
140,141,Malta,1375,69,90,0,759,10,607,3,3113.0,20.0
141,142,Cyprus,1351,12,200,0,870,0,461,5,1118.0,17.0
142,143,Georgia,1341,5,170,0,1092,4,232,0,336.0,4.0
143,144,Latvia,1323,1,320,0,1078,0,213,0,702.0,17.0
144,145,Bahamas,1315,0,180,0,189,0,1108,1,3340.0,46.0
145,146,Botswana,1308,94,30,0,136,16,1169,1,555.0,1.0
146,147,Burkina Faso,1267,0,550,0,1013,0,199,0,60.0,3.0
147,148,Liberia,1257,0,820,0,788,0,387,0,248.0,16.0
148,149,Niger,1167,0,690,0,1078,0,20,0,48.0,3.0
149,150,Togo,1147,0,270,0,843,0,277,2,138.0,3.0
150,151,Jamaica,1113,7,140,0,764,3,335,2,376.0,5.0
151,152,Aruba,1102,0,40,0,200,0,898,0,10316.0,37.0
152,153,Andorra,1005,16,530,0,869,6,83,1,13004.0,686.0
153,154,Vietnam,976,14,240,0,467,11,485,0,10.0,0.2
154,155,Chad,959,3,760,0,865,0,18,0,58.0,5.0
155,156,Lesotho,946,43,2500,0,271,0,650,0,441.0,12.0
156,157,Sao Tome and Principe,885,0,150,0,818,0,52,0,4029.0,68.0
157,158,Réunion,880,25,50,0,657,0,218,4,982.0,6.0
158,159,Diamond Princess,712,0,130,0,651,0,48,4,0.0,0.0
159,160,Guyana,709,0,2300,0,349,0,337,3,901.0,29.0
160,162,Channel Islands,609,2,470,0,545,0,17,0,3499.0,270.0
161,163,Trinidad and Tobago,565,13,120,1,140,0,413,3,404.0,9.0
162,164,Guadeloupe,510,64,140,0,289,0,207,2,1275.0,35.0
163,165,Tanzania,509,0,210,0,183,0,305,7,8.0,0.4
164,166,Taiwan,485,1,70,0,450,0,28,0,20.0,0.3
165,167,Belize,452,0,30,0,35,0,414,3,1134.0,8.0
166,168,Burundi,413,0,10,0,315,0,97,0,35.0,0.08
167,169,Comoros,405,0,70,0,379,0,19,0,465.0,8.0
168,170,Myanmar,376,1,60,0,331,2,39,0,7.0,0.1
169,171,Faeroe Islands,373,1,0,0,229,4,144,0,7630.0,0.0
170,172,Mauritius,346,0,100,0,334,0,2,0,272.0,8.0
171,174,Martinique,336,0,160,0,98,0,222,2,895.0,43.0
