,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
172,175,Papua New Guinea,333,10,30,0,110,0,220,0,37.0,0.3
173,176,Sint Maarten,317,17,170,0,107,0,193,3,7383.0,396.0
174,177,Turks and Caicos,298,0,20,0,55,0,241,3,7684.0,52.0
175,178,Mongolia,298,0,0,0,276,0,22,1,91.0,0.0
176,179,Eritrea,285,0,0,0,248,0,37,0,80.0,0.0
177,180,Cambodia,273,0,0,0,238,0,35,1,16.0,0.0
178,181,Gibraltar,217,2,0,0,194,4,23,0,6441.0,0.0
179,183,French Polynesia,166,0,0,0,64,0,102,1,591.0,0.0
180,184,Bermuda,162,0,90,0,147,0,6,0,2602.0,145.0
181,185,Barbados,152,1,70,0,122,0,23,0,529.0,24.0
182,186,Monaco,146,0,40,0,114,0,28,4,3717.0,102.0
183,188,Bhutan,141,3,0,0,103,1,38,0,182.0,0.0
184,189,Seychelles,127,0,0,0,126,0,1,0,1290.0,0.0
185,190,Saint Martin,109,0,40,0,49,0,56,1,2813.0,103.0
186,191,Liechtenstein,94,3,10,0,87,0,6,0,2464.0,26.0
187,192,Antigua and Barbuda,93,0,30,0,88,5,2,1,949.0,31.0
188,193,St. Vincent Grenadines,57,0,0,0,55,0,2,0,514.0,0.0
189,195,Curaçao,34,0,10,0,31,0,2,0,207.0,6.0
190,196,Fiji,28,0,10,0,20,0,7,0,31.0,1.0
191,198,Timor-Leste,25,0,0,0,24,0,1,0,19.0,0.0
192,199,Grenada,24,0,0,0,23,0,1,0,213.0,0.0
193,200,New Caledonia,23,0,0,0,22,0,1,0,80.0,0.0
194,201,Laos,22,0,0,0,19,0,3,0,3.0,0.0
195,206,Caribbean Netherlands,13,0,0,0,7,0,6,0,495.0,0.0
196,208,St. Barth,13,0,0,0,9,0,4,0,1316.0,0.0
197,210,Western Sahara,10,0,10,0,8,0,1,0,17.0,2.0
198,211,MS Zaandam,9,0,20,0,0,0,7,0,0.0,0.0
199,212,British Virgin Islands,9,0,10,0,7,0,1,0,297.0,33.0
200,213,Saint Pierre Miquelon,4,0,0,0,1,0,3,0,691.0,0.0
201,215,China,84849,22,46340,0,79603,28,612,30,59.0,3.0
